Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/20/2023,09/21/2023,Dropbox MBBD4ZX47N58,Bills & Utilities,Sale,-11.99,
09/16/2023,09/18/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
09/17/2023,09/18/2023,UBER   TRIP,Travel,Sale,-74.00,
09/14/2023,09/15/2023,Spotify USA,Bills & Utilities,Sale,-16.99,
09/11/2023,09/12/2023,AMZN Mktp US*TR4589HF0,Shopping,Sale,-51.81,
09/10/2023,09/11/2023,SQ *ELEVATE BAR CATERING,Food & Drink,Sale,-23.00,
09/09/2023,09/10/2023,SQ *DEVIL'S TEETH BAKING,Food & Drink,Sale,-13.04,
09/09/2023,09/10/2023,SEARCHLIGHT MARKET,Groceries,Sale,-20.92,
09/09/2023,09/10/2023,SQ *GOMEZ BROTHERS SF LLC,Food & Drink,Sale,-16.07,
09/09/2023,09/10/2023,UBER   TRIP,Travel,Sale,-14.94,
09/09/2023,09/10/2023,UBER   TRIP,Travel,Sale,-8.65,
09/08/2023,09/10/2023,TST* Thai Spice Restauran,Food & Drink,Sale,-19.94,
09/07/2023,09/10/2023,TRAVELONLINEAPPLICATION,Personal,Sale,-114.00,
09/09/2023,09/10/2023,UBER   TRIP,Travel,Sale,-10.94,
09/07/2023,09/08/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
09/07/2023,09/08/2023,AMZN Mktp US*TL4JM5D01,Shopping,Sale,-19.09,
09/04/2023,09/06/2023,CAFE MEUSE WINE BAR AN,Food & Drink,Sale,-44.00,
09/04/2023,09/05/2023,SQ *BOB'S DONUTS POLK,Food & Drink,Sale,-2.25,
09/02/2023,09/04/2023,IN N OUT BURGER 091,Food & Drink,Sale,-14.18,
09/03/2023,09/04/2023,CHEVRON 0307223,Gas,Sale,-3.78,
09/01/2023,09/04/2023,TUPELO,Food & Drink,Sale,-24.72,
09/01/2023,09/04/2023,PARKVIEW MARKET,Groceries,Sale,-3.37,
09/02/2023,09/04/2023,RALEY S #309,Groceries,Sale,-25.41,
09/03/2023,09/03/2023,Subway 37020,Food & Drink,Sale,-16.23,
09/02/2023,09/03/2023,SQ *COCHINITA,Food & Drink,Sale,-16.84,
09/02/2023,09/03/2023,CHEVRON 0373221,Gas,Sale,-3.59,
09/01/2023,09/03/2023,PEET'S #00102,Food & Drink,Sale,-4.45,
09/02/2023,09/03/2023,SQ *PHILZ COFFEE,Food & Drink,Sale,-6.65,
09/02/2023,09/03/2023,UBER   TRIP,Travel,Sale,-17.99,
09/02/2023,09/03/2023,SQ *SAINT FRANK COFFEE,Food & Drink,Sale,-5.20,
09/02/2023,09/03/2023,SQ *THE BAKED BEAR OF SAN,Food & Drink,Sale,-10.81,
09/01/2023,09/03/2023,SNACK* TP TEA - BERKEL,Food & Drink,Sale,-7.16,
09/01/2023,09/03/2023,LA NOTE RESTAURANT,Food & Drink,Sale,-112.95,
08/31/2023,09/03/2023,DIMPLES COCKTAIL LOUNGE,Food & Drink,Sale,-95.00,
09/01/2023,09/03/2023,CRUNCH100A,Health & Wellness,Sale,-89.20,
09/01/2023,09/03/2023,ABU SALIM MIDDLE EASTERN,Food & Drink,Sale,-16.28,
08/31/2023,09/01/2023,WHOLEFDS FRK 10044,Groceries,Sale,-10.09,
08/31/2023,09/01/2023,SQ *LA TAQUERIA,Food & Drink,Sale,-10.98,
08/30/2023,09/01/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
08/30/2023,08/31/2023,SP SPORTS BASEMENT I,Shopping,Return,111.04,
08/30/2023,08/31/2023,LYFT   1 RIDE 08-29,Travel,Sale,-5.96,
08/29/2023,08/31/2023,PROPAGATION,Food & Drink,Sale,-74.32,
08/29/2023,08/30/2023,CHARGERBACKLOSTFOUND,Shopping,Sale,-27.50,
08/29/2023,08/30/2023,LYFT   2 RIDES 08-28,Travel,Sale,-29.60,
08/29/2023,08/30/2023,AMZN Mktp US*T314S16A0,Shopping,Sale,-39.57,
08/30/2023,08/30/2023,SQ *MENSHO TOKYO SF,Food & Drink,Sale,-26.59,
08/28/2023,08/30/2023,BON APPETIT2,Food & Drink,Sale,-32.55,
08/28/2023,08/29/2023,SP SPORTS BASEMENT I,Shopping,Sale,-263.11,
08/25/2023,08/27/2023,Amazon Prime*T325G1EI2,Bills & Utilities,Sale,-14.99,
08/26/2023,08/27/2023,SPORTS BASEMENT PRESIDIO,Shopping,Sale,-71.37,
08/26/2023,08/27/2023,SQ *PIAZZA PELLEGRINI,Food & Drink,Sale,-39.67,
08/26/2023,08/27/2023,DOLPHIN CLUB,Personal,Sale,-10.55,
08/25/2023,08/25/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-76.88,
08/24/2023,08/25/2023,UBER   TRIP,Travel,Sale,-10.94,
08/23/2023,08/24/2023,SEARCHLIGHT MARKET,Groceries,Sale,-13.37,
08/24/2023,08/24/2023,UBER   TRIP,Travel,Sale,-9.97,
08/20/2023,08/21/2023,THE HOMESTEAD,Food & Drink,Sale,-62.94,
08/21/2023,08/21/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
08/18/2023,08/21/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
08/20/2023,08/21/2023,Dropbox MLNNQXD64CQJ,Bills & Utilities,Sale,-11.99,
08/19/2023,08/21/2023,TST* Tacko - San Francisc,Food & Drink,Sale,-33.83,
08/20/2023,08/21/2023,SQ *REVEILLE COFFEE CO.,Food & Drink,Sale,-21.89,
08/21/2023,08/21/2023,UBER   TRIP,Travel,Sale,-12.91,
08/20/2023,08/21/2023,TST* CURIO BAR,Food & Drink,Sale,-29.65,
08/17/2023,08/18/2023,UBER   TRIP,Travel,Sale,-14.93,
08/16/2023,08/18/2023,TST* Taishoken Ramen 2,Food & Drink,Sale,-90.12,
08/17/2023,08/17/2023,Payment Thank You-Mobile,,Payment,6400.57,
08/17/2023,08/17/2023,UBER   TRIP,Travel,Sale,-13.95,
08/14/2023,08/15/2023,Spotify USA,Bills & Utilities,Sale,-15.99,
08/12/2023,08/14/2023,EL RANCHO GRANDE TAQUERIA,Food & Drink,Sale,-18.08,
08/14/2023,08/14/2023,SQ *SALT &amp; STRAW ICE CREA,Food & Drink,Sale,-8.79,
08/13/2023,08/14/2023,SQ *OUTSIDE LANDS MUSIC &amp;,Groceries,Sale,-58.66,
08/13/2023,08/14/2023,UBER   TRIP,Travel,Sale,-35.97,
08/11/2023,08/14/2023,BONITA TAQUERIA  ROTISSE,Food & Drink,Sale,-17.37,
08/11/2023,08/13/2023,UBER   TRIP,Travel,Sale,-14.91,
08/11/2023,08/13/2023,SQ *CAFE REVEILLE,Food & Drink,Sale,-20.58,
08/12/2023,08/13/2023,UBER   TRIP,Travel,Sale,-40.91,
08/11/2023,08/13/2023,SQ *OUTSIDE LANDS MUSIC &amp;,Food & Drink,Sale,-15.21,
08/12/2023,08/13/2023,SEARCHLIGHT MARKET,Groceries,Sale,-24.29,
08/12/2023,08/13/2023,SQ *OUTSIDE LANDS MUSIC &amp;,Groceries,Sale,-15.21,
08/12/2023,08/13/2023,SQ *PHILZ COFFEE,Food & Drink,Sale,-13.27,
08/11/2023,08/13/2023,UBER   TRIP,Travel,Sale,-13.13,
08/10/2023,08/11/2023,UBER   TRIP,Travel,Sale,-11.96,
08/10/2023,08/11/2023,UBER   TRIP,Travel,Sale,-15.93,
08/10/2023,08/11/2023,TST* Thai Spice Restauran,Food & Drink,Sale,-54.67,
08/09/2023,08/10/2023,PY *SAJJ - SAN FRANCISCO,Food & Drink,Sale,-19.05,
08/07/2023,08/08/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
08/06/2023,08/07/2023,TST* Thai Spice Restauran,Food & Drink,Sale,-35.05,
08/05/2023,08/07/2023,TST* Tacko - San Francisc,Food & Drink,Sale,-15.76,
08/05/2023,08/07/2023,NEW BAIT SHOP &amp; DELI MARK,Groceries,Sale,-7.58,
08/06/2023,08/07/2023,UBER   TRIP,Travel,Sale,-13.97,
08/04/2023,08/06/2023,AMZN Mktp US*TA83W4FE0,Shopping,Sale,-43.44,
08/05/2023,08/06/2023,WOODLANDS MARKETS,Groceries,Sale,-22.35,
08/05/2023,08/06/2023,UBER   TRIP,Travel,Sale,-11.97,
08/04/2023,08/06/2023,TST* Trick Dog,Food & Drink,Sale,-29.01,
08/01/2023,08/02/2023,CRUNCH100A,Health & Wellness,Sale,-89.20,
07/30/2023,07/31/2023,HAWTHORN LOUNGE,Food & Drink,Sale,-17.15,
07/29/2023,07/31/2023,TUPELO,Food & Drink,Sale,-27.36,
07/30/2023,07/31/2023,UBER   TRIP,Travel,Sale,-13.91,
07/30/2023,07/31/2023,UBER   TRIP,Travel,Sale,-12.90,
07/28/2023,07/31/2023,NORTHSTAR CAFE,Food & Drink,Sale,-10.27,
07/28/2023,07/31/2023,TUPELO,Food & Drink,Sale,-39.10,
07/28/2023,07/31/2023,TUPELO,Food & Drink,Sale,-37.58,
07/30/2023,07/31/2023,HAWTHORN LOUNGE,Food & Drink,Sale,-51.45,
07/29/2023,07/31/2023,GRANT &amp; GREEN MARKET,Groceries,Sale,-31.20,
07/30/2023,07/31/2023,HAWTHORN LOUNGE,Food & Drink,Sale,-17.32,
07/29/2023,07/30/2023,SUSHI ON NORTH BEACH -,Food & Drink,Sale,-228.78,
07/26/2023,07/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-67.84,
07/25/2023,07/26/2023,TAJEEN HALAL FOOD,Food & Drink,Sale,-21.78,
07/25/2023,07/26/2023,Amazon Prime*T632F2870,Bills & Utilities,Sale,-14.99,
07/25/2023,07/26/2023,LYFT   1 RIDE 07-23,Travel,Sale,-36.34,
07/24/2023,07/25/2023,C2 VANGUARD MKT - EMV,Groceries,Sale,-15.98,
07/24/2023,07/25/2023,UBER   TRIP,Travel,Sale,-109.16,
07/24/2023,07/25/2023,LYFT   CITI BIKE RIDE,Travel,Return,118.04,
07/23/2023,07/25/2023,C2 HAPPY CLAM MARKET,Groceries,Sale,-17.80,
07/24/2023,07/25/2023,SEARCHLIGHT MARKET,Groceries,Sale,-13.39,
07/22/2023,07/24/2023,RANGOON RESTAURANT (CHELS,Food & Drink,Sale,-220.31,
07/22/2023,07/24/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/23/2023,07/24/2023,TST* VANILLA GORILLA CAFE,Food & Drink,Sale,-19.49,
07/22/2023,07/24/2023,TRIBECA FINEST MARKET GRO,Groceries,Sale,-5.20,
07/23/2023,07/24/2023,DUANE READE #14292,Health & Wellness,Sale,-3.80,
07/23/2023,07/24/2023,SQ *AVANT-GARDE USA LLC,Entertainment,Sale,-45.86,
07/22/2023,07/24/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/23/2023,07/24/2023,UBER   TRIP,Travel,Sale,-29.96,
07/23/2023,07/24/2023,SQ *AVANT-GARDE USA LLC,Entertainment,Sale,-45.08,
07/22/2023,07/24/2023,E SMOKE AND CONVENIENCE,Shopping,Sale,-5.63,
07/23/2023,07/24/2023,BAGEL WORKS,Groceries,Sale,-16.28,
07/24/2023,07/24/2023,LYFT   CITI BIKE RIDE,Travel,Sale,-122.93,
07/23/2023,07/23/2023,AUTOMATIC PAYMENT - THANK,,Payment,72.00,
07/22/2023,07/23/2023,RITZ DINER.,Food & Drink,Sale,-28.18,
07/22/2023,07/23/2023,TST* SAUCE PIZZERIA - EAS,Food & Drink,Sale,-15.85,
07/21/2023,07/23/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/22/2023,07/23/2023,UBER   TRIP,Travel,Sale,-26.24,
07/22/2023,07/23/2023,UBER   TRIP,Travel,Sale,-16.96,
07/20/2023,07/23/2023,FLEUR ROOM AT MOXY HOT,Food & Drink,Sale,-67.88,
07/21/2023,07/23/2023,TST* DOS TOROS - NY UPPER,Food & Drink,Sale,-19.46,
07/22/2023,07/23/2023,SQ *CAFFE ARONNE,Food & Drink,Sale,-5.44,
07/21/2023,07/23/2023,SNACK* MEI LAI WAH NEW,Food & Drink,Sale,-51.21,
07/21/2023,07/23/2023,DUANE READE #14292,Health & Wellness,Sale,-24.48,
07/20/2023,07/23/2023,KAZUNORI- NYC,Food & Drink,Sale,-37.02,
07/23/2023,07/23/2023,SHOTGUN* LATER ON NYC,Shopping,Sale,-45.40,
07/21/2023,07/23/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/21/2023,07/23/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/19/2023,07/21/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/20/2023,07/21/2023,Dropbox MFQJFJ6F9KMP,Bills & Utilities,Sale,-11.99,
07/19/2023,07/21/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/20/2023,07/21/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/19/2023,07/21/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/21/2023,07/21/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
07/19/2023,07/21/2023,TST* The Greats of Craft,Food & Drink,Sale,-18.04,
07/20/2023,07/21/2023,TST* JOE COFFEE - LEXINGT,Food & Drink,Sale,-11.00,
07/19/2023,07/21/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/20/2023,07/21/2023,MTA*NYCT PAYGO,Travel,Sale,-2.75,
07/19/2023,07/20/2023,UBER   TRIP,Travel,Sale,-18.93,
07/19/2023,07/20/2023,UBER   TRIP,Travel,Sale,-37.94,
07/19/2023,07/20/2023,NWK INT AIR   03570009,Travel,Sale,-31.50,
07/20/2023,07/20/2023,UBER   TRIP,Travel,Sale,-16.97,
07/19/2023,07/20/2023,CKE*MIGHTY BOWL 3 LLC NEW,Food & Drink,Sale,-15.19,
07/19/2023,07/19/2023,UBER   TRIP,Travel,Sale,-11.92,
07/18/2023,07/19/2023,RESIDENT ADVISOR TICKE,Entertainment,Sale,-22.00,
07/16/2023,07/18/2023,CASSAVA,Food & Drink,Sale,-172.93,
07/17/2023,07/18/2023,AMZN Mktp US*NB8396XB3,Shopping,Sale,-116.65,
07/16/2023,07/17/2023,SQ *THE COFFEE MOVEMENT,Food & Drink,Sale,-13.80,
07/14/2023,07/16/2023,TST* HUMBLE SEA BREWING -,Food & Drink,Sale,-8.71,
07/14/2023,07/16/2023,SQ *AUNTY VICKY'S,Food & Drink,Sale,-17.36,
07/13/2023,07/16/2023,HARPER  RYE,Food & Drink,Sale,-24.24,
07/15/2023,07/16/2023,SP KORI WORLD,Shopping,Sale,-35.06,
07/15/2023,07/16/2023,UBER   TRIP,Travel,Sale,-10.93,
07/15/2023,07/16/2023,LYFT   1 RIDE 07-13,Travel,Sale,-27.00,
07/14/2023,07/16/2023,Spotify USA,Bills & Utilities,Sale,-15.99,
07/14/2023,07/16/2023,FIORELLA - POLK,Food & Drink,Sale,-251.12,
07/14/2023,07/16/2023,Rapha Racing LLC,Shopping,Sale,-205.31,
07/12/2023,07/13/2023,TRADER JOE S #200,Groceries,Sale,-90.98,
07/10/2023,07/12/2023,BONITA TAQUERIA  ROTISSE,Food & Drink,Sale,-37.64,
07/10/2023,07/11/2023,UBER   TRIP,Travel,Sale,-5.84,
07/10/2023,07/11/2023,SEARCHLIGHT MARKET,Groceries,Sale,-19.88,
07/09/2023,07/11/2023,MAGGIANO'S CONC C DFW,Food & Drink,Sale,-3.35,
07/10/2023,07/11/2023,UBER   TRIP,Travel,Sale,-38.94,
07/09/2023,07/10/2023,CENTRAL MARKET #546,Groceries,Sale,-9.30,
07/09/2023,07/10/2023,SQ *YE OLDE SCARLET PUMPE,Food & Drink,Sale,-66.29,
07/09/2023,07/10/2023,UBER   TRIP,Travel,Sale,-58.69,
07/07/2023,07/10/2023,HUTCHINS BBQ CATERING,Food & Drink,Sale,-80.13,
07/08/2023,07/10/2023,WESTIN STONEBRIAR HOTEL F,Food & Drink,Sale,-7.50,
07/08/2023,07/10/2023,STONEBRIAR CC FAZIO PR,Shopping,Sale,-92.00,
07/07/2023,07/09/2023,WESTIN STONEBRIAR HOTEL F,Food & Drink,Sale,-10.66,
07/08/2023,07/09/2023,SCRUFFY DUFFIES,Food & Drink,Sale,-37.77,
07/08/2023,07/09/2023,SCRUFFY DUFFIES,Food & Drink,Sale,-15.67,
07/08/2023,07/09/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
07/08/2023,07/09/2023,LYFT   1 RIDE 07-07,Travel,Sale,-59.74,
07/08/2023,07/09/2023,KENNYS BURGER JOINT,Food & Drink,Sale,-21.75,
07/08/2023,07/09/2023,UBER   TRIP,Travel,Sale,-44.94,
07/06/2023,07/07/2023,USPS PO 0568060042,Shopping,Sale,-5.61,
07/05/2023,07/07/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
07/06/2023,07/07/2023,SP TOPO DESIGNS,Shopping,Sale,-36.93,
07/05/2023,07/06/2023,SP TOPO DESIGNS,Shopping,Sale,-20.64,
07/04/2023,07/05/2023,UBER   TRIP,Travel,Sale,-75.78,
07/03/2023,07/05/2023,GOODWILL OF SAN FRANCI,Shopping,Sale,-27.00,
07/04/2023,07/05/2023,UBER   TRIP,Travel,Sale,-12.94,
07/03/2023,07/04/2023,FALLETTI FOODS,Groceries,Sale,-33.43,
07/02/2023,07/04/2023,LEOPOLD'S GASTHAUS,Food & Drink,Sale,-187.94,
07/03/2023,07/04/2023,BUFFALO EXCHANGE CA02,Shopping,Sale,-28.24,
07/02/2023,07/03/2023,SQ *MAZRA,Food & Drink,Sale,-111.14,
07/03/2023,07/03/2023,UBER   TRIP,Travel,Sale,-9.92,
07/01/2023,07/02/2023,SQ *AVID COFFEE,Food & Drink,Sale,-2.59,
07/01/2023,07/02/2023,CRUNCH100A,Health & Wellness,Sale,-86.25,
06/29/2023,06/30/2023,UBER   TRIP,Travel,Sale,-9.97,
06/26/2023,06/27/2023,UBER   TRIP,Travel,Sale,-17.99,
06/26/2023,06/27/2023,UBER   TRIP,Travel,Sale,-18.98,
06/26/2023,06/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-55.18,
06/25/2023,06/26/2023,UBER   TRIP,Travel,Sale,-13.90,
06/25/2023,06/26/2023,Amazon Prime*943R45XZ3,Bills & Utilities,Sale,-14.99,
06/25/2023,06/26/2023,UBER   TRIP,Travel,Sale,-16.96,
06/24/2023,06/26/2023,TAQUERIA LOS PERICOS,Food & Drink,Sale,-24.69,
06/25/2023,06/25/2023,UBER   TRIP,Travel,Sale,-17.95,
06/21/2023,06/22/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
06/20/2023,06/21/2023,Dropbox KLQDP241SRNH,Bills & Utilities,Sale,-11.99,
06/20/2023,06/21/2023,SP TOPO DESIGNS,Shopping,Sale,-26.07,
06/19/2023,06/19/2023,Payment Thank You - Web,,Payment,2000.00,
06/16/2023,06/18/2023,SP TREW GEAR,Shopping,Sale,-197.10,
06/16/2023,06/18/2023,LYFT   1 RIDE 06-14,Travel,Sale,-13.99,
06/15/2023,06/16/2023,UBER   TRIP,Travel,Sale,-14.93,
06/15/2023,06/16/2023,TRADER JOE S #200,Groceries,Sale,-54.33,
06/15/2023,06/16/2023,UBER   EATS,Food & Drink,Sale,-20.10,
06/14/2023,06/15/2023,Spotify USA,Bills & Utilities,Sale,-15.99,
06/13/2023,06/14/2023,AMZN Mktp US*D80352B93,Shopping,Sale,-32.46,
06/12/2023,06/12/2023,SP FLYLOW GEAR,Shopping,Sale,-314.89,
06/08/2023,06/09/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
06/06/2023,06/06/2023,LYFT   *1 RIDE 06-04,Travel,Sale,-10.99,
06/03/2023,06/05/2023,POLK STREET MARKET,Groceries,Sale,-33.83,
06/04/2023,06/05/2023,UBER   TRIP,Travel,Sale,-13.90,
06/03/2023,06/04/2023,UBER   TRIP,Travel,Sale,-15.91,
06/03/2023,06/04/2023,SQ *ARSICAULT,Food & Drink,Sale,-6.75,
06/03/2023,06/04/2023,SQ *MONARCH BEVERAGE CATE,Food & Drink,Sale,-30.00,
06/01/2023,06/02/2023,CRUNCH100A,Health & Wellness,Sale,-86.25,
05/31/2023,06/01/2023,SQ *SAINT FRANK COFFEE,Food & Drink,Sale,-21.84,
05/30/2023,05/30/2023,UBER   EATS,Food & Drink,Sale,-56.90,
05/26/2023,05/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-41.91,
05/25/2023,05/26/2023,Amazon Prime*QF0HA3WO3,Bills & Utilities,Sale,-14.99,
05/25/2023,05/26/2023,PULL BEAR,Shopping,Sale,-72.35,
05/25/2023,05/26/2023,PAD PORT CAMOES,Food & Drink,Sale,-0.97,
05/25/2023,05/26/2023,BIJUTARIA E E E,Shopping,Sale,-27.01,
05/25/2023,05/26/2023,SUSANA FELICIDADE,Food & Drink,Sale,-18.26,
05/24/2023,05/26/2023,BERTRAND LISBOA,Shopping,Sale,-17.32,
05/24/2023,05/25/2023,PAD PORT CAMOES,Food & Drink,Sale,-8.71,
05/24/2023,05/25/2023,FABRICA DA NATA,Food & Drink,Sale,-6.06,
05/24/2023,05/25/2023,DOMINGO DO FLAMINGO,Food & Drink,Sale,-6.49,
05/23/2023,05/23/2023,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
05/22/2023,05/23/2023,BAGGA,Food & Drink,Sale,-10.94,
05/20/2023,05/21/2023,Dropbox JB114S3G1B5Z,Bills & Utilities,Sale,-11.99,
05/19/2023,05/21/2023,MO PORTO DE MOS,Shopping,Sale,-31.55,
05/21/2023,05/21/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
05/19/2023,05/21/2023,AARAF GIFT POINT,Groceries,Sale,-3.69,
05/19/2023,05/21/2023,CONTINENTE BOM DIA,Groceries,Sale,-2.60,
05/20/2023,05/21/2023,WOK TO WALK PORTO,Food & Drink,Sale,-21.45,
05/19/2023,05/21/2023,CONTINENTE CALVARIA,Groceries,Sale,-3.96,
05/18/2023,05/19/2023,CONTINENTE BOM DIA,Groceries,Sale,-3.48,
05/17/2023,05/18/2023,UBER   TRIP,Travel,Sale,-12.95,
05/17/2023,05/18/2023,UBER   TRIP,Travel,Sale,-11.93,
05/17/2023,05/18/2023,LYFT   1 RIDE 05-16,Travel,Sale,-13.83,
05/15/2023,05/17/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
05/17/2023,05/17/2023,UBER *TRIP HELP.UBER.COM,Travel,Sale,-10.97,
05/15/2023,05/16/2023,UBER   TRIP,Travel,Sale,-11.93,
05/14/2023,05/15/2023,Spotify USA,Bills & Utilities,Sale,-15.99,
05/12/2023,05/14/2023,UBER   TRIP,Travel,Sale,-10.97,
05/13/2023,05/14/2023,AMZN Mktp US*M879K9NC3,Shopping,Sale,-66.09,
05/14/2023,05/14/2023,AMZN Mktp US*CS1DO2IM3,Shopping,Sale,-43.70,
05/11/2023,05/12/2023,WALGREENS #5599,Health & Wellness,Sale,-18.46,
05/12/2023,05/12/2023,SP TOPO DESIGNS,Shopping,Sale,-21.27,
05/11/2023,05/12/2023,UBER   TRIP,Travel,Sale,-10.93,
05/10/2023,05/11/2023,SP MAAP USA,Shopping,Sale,-122.00,
05/10/2023,05/11/2023,UBER   TRIP,Travel,Sale,-14.89,
05/09/2023,05/10/2023,UBER   TRIP,Travel,Sale,-12.93,
05/09/2023,05/10/2023,UBER   TRIP,Travel,Sale,-11.92,
05/08/2023,05/09/2023,SQ *WOODS LOWER HAIGHT,Food & Drink,Sale,-45.60,
05/08/2023,05/09/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
05/07/2023,05/08/2023,EL FAROLITO,Food & Drink,Sale,-10.30,
05/07/2023,05/08/2023,SQ *DEVIL'S TEETH BAKING,Food & Drink,Sale,-12.49,
05/06/2023,05/07/2023,UBER   TRIP,Travel,Sale,-9.91,
05/04/2023,05/05/2023,TRADER JOE S #200,Groceries,Sale,-22.05,
05/03/2023,05/04/2023,UBER   TRIP,Travel,Sale,-31.94,
05/01/2023,05/02/2023,CRUNCH100A,Health & Wellness,Sale,-86.25,
04/29/2023,05/01/2023,TST* Tacko - San Francisc,Food & Drink,Sale,-28.15,
04/29/2023,05/01/2023,POLK STREET MARKET,Groceries,Sale,-33.83,
04/28/2023,04/30/2023,SQ *METRO CAFFE,Personal,Sale,-19.44,
04/29/2023,04/30/2023,UBER   TRIP,Travel,Sale,-14.89,
04/29/2023,04/30/2023,UBER   TRIP,Travel,Sale,-11.90,
04/26/2023,04/27/2023,SP PRIMAL WEAR,Shopping,Sale,-109.00,
04/27/2023,04/27/2023,UBER   TRIP,Travel,Sale,-12.91,
04/26/2023,04/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-20.05,
04/25/2023,04/26/2023,Amazon Prime*HF7E250L2,Bills & Utilities,Sale,-14.99,
04/23/2023,04/25/2023,THE MIDWAY,Food & Drink,Sale,-13.29,
04/24/2023,04/24/2023,UBER   EATS,Food & Drink,Sale,-66.79,
04/22/2023,04/24/2023,MIKES LIQUORS &amp; GROCERIE,Food & Drink,Sale,-14.48,
04/21/2023,04/24/2023,SEARCHLIGHT MARKET,Groceries,Sale,-35.91,
04/23/2023,04/24/2023,UBER   TRIP,Travel,Sale,-19.94,
04/23/2023,04/24/2023,TST* EQUATOR COFFEES - MA,Food & Drink,Sale,-17.34,
04/22/2023,04/24/2023,TST* Arcana,Food & Drink,Sale,-42.44,
04/23/2023,04/23/2023,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
04/21/2023,04/23/2023,UBER   TRIP,Travel,Sale,-14.96,
04/21/2023,04/23/2023,UBER   TRIP,Travel,Sale,-18.99,
04/21/2023,04/23/2023,UBER   TRIP,Travel,Sale,-1.00,
04/21/2023,04/23/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
04/22/2023,04/23/2023,TST* Caffe Acri,Food & Drink,Sale,-28.00,
04/20/2023,04/21/2023,Dropbox R6HN9SVPL4LR,Bills & Utilities,Sale,-11.99,
04/16/2023,04/18/2023,TAQUERIA EL BURRITO,Food & Drink,Sale,-33.64,
04/13/2023,04/16/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
04/15/2023,04/16/2023,PANDA EXPRESS 761,Food & Drink,Sale,-13.69,
04/14/2023,04/16/2023,CHICK-FIL-A #03759,Food & Drink,Sale,-17.88,
04/14/2023,04/16/2023,Spotify USA,Bills & Utilities,Sale,-15.99,
04/14/2023,04/14/2023,UBER   TRIP,Travel,Sale,-10.95,
04/12/2023,04/14/2023,TST* Elephant Sushi - Hyd,Food & Drink,Sale,-27.03,
04/12/2023,04/13/2023,SQ *ARSICAULT,Food & Drink,Sale,-6.75,
04/10/2023,04/11/2023,UBER   TRIP,Travel,Sale,-5.00,
04/10/2023,04/11/2023,TST* EQUATOR COFFEES - MA,Food & Drink,Sale,-4.50,
04/09/2023,04/10/2023,UBER   TRIP,Travel,Sale,-13.91,
04/08/2023,04/09/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
04/05/2023,04/07/2023,SPLIT POLK,Food & Drink,Sale,-24.37,
04/06/2023,04/07/2023,Amazon.com*HS7NL2UP0,Shopping,Sale,-24.43,
04/02/2023,04/04/2023,TAQUERIA EL BURRITO,Food & Drink,Sale,-32.45,
04/02/2023,04/03/2023,SQ *TEMPLE COFFEE,Food & Drink,Sale,-29.35,
04/01/2023,04/02/2023,UBER   TRIP,Travel,Sale,-41.94,
04/01/2023,04/02/2023,CRUNCH100A,Health & Wellness,Sale,-86.25,
03/25/2023,03/27/2023,BONITA TAQUERIA  ROTISSE,Food & Drink,Sale,-11.81,
03/26/2023,03/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-16.01,
